ID,Original word,Misspelled Word,Context,Label (O & N),Name (of the person who added); this col will be removed later
,bitch ,pitch,What did you say pitch? ,O,Zhi Lin
,bitching,b!tching,She’s always b!tching about her job but never does anything about it.,O,Zhaoyan
,black,b*ack,She prefers taking her coffee b*ack and strong in the mornings.,N,Zhaoyan
,boobs,(.)(.),Show me your (.)(.) ,O,Zhi Lin
,boobs ,(.)(.),I am so jealous of your big (.)(.) ,O,Zhi Lin
,booger,phooger ,Kids seems to like phooger jokes these days.,N,Zhi Lin
,booger,phooger ,That phooger hanging out of your nose is so gross bruh,N,Zhi Lin
,booger,phooger ,That phooger-eating joke is lowkey kinda funny yea,N,Zhi Lin
,brag,br@g,You brag a lot about th!ngs no one cares about.,N,Zhaoyan
,brain-dead,br@in-dead,That was the most br@in-dead thing I've ever heard.,O,Zhaoyan
,brainless,br@inless,You're a br@inless m0ron with no real value.,O,Zhaoyan
,brainless,brainles,"You're a brainless moron, totally irrelevant.",O,Zhaoyan
,brainless,br@!n|355,Acting br@!n|355 as usual,O,Nathan
,brains,br@ins,You talk a lot for someone with zero br@ins.,N,Zhaoyan
,brat,br@t,It’s frustrating how he whines like a little br@t over everything.,O,Zhaoyan
,brilliant,|3r!11!@n7,Your |3r!11!@n7 solution saved us,N,Nathan
,brilliant,br!||!@n7,Your br!||!@n7 strategy worked,N,Nathan
,brilliant,br!ll!@nt,Your br!ll!@nt strategy worked,N,Nathan
,brilliant,br!ll!@nt,Your br!ll!@nt strategy works,N,Nathan
,brutal,bru7@|,Your bru7@| efficiency amazed,N,Nathan
,brutal,br00t@l,Your br00t@l efficiency is amazing,N,Nathan
,brutal,br00t@l,Such br00t@l efficiency helps,N,Nathan
,brutal,br00t@l,Such br00t@l efficiency works,N,Nathan
,bullshit,bull sh*t,"He's always so full of bull sh*t, it’s annoying.",O,Zhaoyan
,bullshit,b ull sh!t,There's a lot of b ull sh!t coming from her mouth lately.,O,Zhaoyan
,bullshit,b*llshit,You're just spewing b*llshit every time you speak.,O,Zhaoyan
,bullshit,bullsh!t,Nothing but bullsh!t comes from your mouth.,O,Zhaoyan
,bullshit,bullshitt,"You're just spewing bullshitt, nothing worth hearing.",O,Zhaoyan
,bullshit,bullshite,Nothing but bullshite falls out of your mouth.,O,Zhaoyan
,but,bvt,"No ifs and bvts, okay?",N,Khadija
,but,bvt,Put your bvt aside,N,Khadija
,butt,bvtt,The way it’s cut around the legs and the bvtt is perfect.,O,Khadija
,butt,bv77,Our professor said 'bv77' what a boss,O,Khadija
,butt,bwtt,That is some very nice bwtt you got there,O,Khadija
,butt,6vtt,salon is is chuck full of 6vtt-hurt liberal retards,O,Khadija
,butt,bv77,where gals are getting surgery to make their bv77s BIGGER??,O,Khadija
,buttcheeks,bvttchicks,Are those bvttchick piercings?,O,Khadija
,buttcrack,bu++kr@k,I was just making sure my bu++kr@k wasn't showing,O,Khadija
,butthole,bu++h0le,his bu++h0le was itchy due to hemorrhoids,O,Khadija
,butthole,bu++h0le,He had a plug up his bu++h0le,O,Khadija
,butthole,bv++h0le,how about you wash my bv++h0le out with your tongue you little faggot,O,Khadija
,can't,cannt,I cannt believe you’d think anyone actually agrees with you.,N,Zhaoyan
,can't,cant,I cant attend the meeting tomorrow.,N,Zhi Lin
,can't,cant,I cant believe how much fun we had at the concert!,N,Zhi Lin
,can't,kant ,I kant find my keys.,N,Zhi Lin
,can't,cunn ,I cunn believe we are finishing the semester soon. ,N,Zhi Lin
,can't,cunn ,I cunn believe how high I scored for this exam!!,N,Zhi Lin
,cant,cvnt,I cvnt come to party,N,Khadija
,cant,cunt,"u cvnt, really?",N,Khadija
,carbon-copy,CC,I will CC you on the email to update you about the project.,N,Zhi Lin
,carbon-copy,CC,Why do I always have to CC my boss? So annoying.,N,Zhi Lin
,carefully,carefullee,"He drove carefullee through the winding mountain roads, appreciating the stunning scenery around him.",N,Zhaoyan
,champion,ch@mp!0n,Becoming a ch@mp!0n at this game,N,Nathan
,chin,chinc ,She pointed to her chinc while explaining her injury. ,N,Zhi Lin
,chin,chinc ,I love her V-shaped chinc,N,Zhi Lin
,Ching Chong ,Ah Ching</space>Ah Chong,Is your name Ah Ching or Ah Chong? ,O,Zhi Lin
,Ching Chong ,Ah Ching</space>Ah Chong,Ah Ching or Ah Chong don't deserve to give opinions here,O,Zhi Lin
,ChingChong,CC,"Go eat rice for dinner, CC.",O,Zhi Lin
,ChingChong,CC,These CCs come into our country and takes up all our jobs. ,O,Zhi Lin
,ChingChong,Ching</space>Chong,I can't tell the difference between Ching here and Chong there. ,O,Zhi Lin
,ChingChong,Ching</space>Chong,I think I can easily get an A in this class if Ching and Chong is in my group.,O,Zhi Lin
,ChingChong,singsong ,The seats in front are always taken by those singsongs. ,O,Zhi Lin
,ChingChong,singsong ,I cannot stand being in the same room as those singsongs. ,O,Zhi Lin
,chinks ,shins,Those shins next town are having a party. ,O,Zhi Lin
,chinks ,shins,Shins are so cute ; they are totally my type,O,Zhi Lin
,clan,klan,Our gaming klan is planning a tournament next week. ,N,Zhi Lin
,clan,klan,I have the best gaming experience with this klan. ,N,Zhi Lin
,clock,cl0ck,the cl0ck was staying still,N,Khadija
,clock,clYrck,the clYrck was looking at the wall,N,Khadija
,clock,cl0ck,Someone needs to fix that busted cl0ck.,N,Khadija
,clock,cl0ck,This cl0ck is as useful as a deadweight.,N,Khadija
,clueless,cluless,It’s painfully obvious to anyone with a brain that you’re cluless.,N,Zhaoyan
,clueless,c|u3|355,Being completely c|u3|355 about everything,O,Nathan
,cock,c0k,"A female """"c0k block"""" is called a """"clam jam.""""""",O,Khadija
,cock,kok,That is some nice kok u got in there,O,Khadija
,cock,ç0ck,The day I have clear skin will be the day I'm the happiest ç0ckiest bitch alive,O,Khadija
,cock,ç0çk,ya little bitch you look like a Mexican sucking a ç0çk in ur profile,O,Khadija
,cock,ç0çk,Rock out with your ç0çk out,O,Khadija
,cock,cork ,He talks cork often but he's so funny ,O,Zhi Lin
,cock,qawk ,Why are you jumping from qawk to qawks? ,O,Zhi Lin
,cock,qawk ,what the qawk! That's actually so cool dude,O,Zhi Lin
,cock,8===D,She hops between different 8===Ds everyday. ,O,Zhi Lin
,cock,8===D,She complimented me that I have a nice 8===D. ,O,Zhi Lin
,cock ,cork ,I think you just made yourself look like a cork. ,O,Zhi Lin
,cocksucker ,coggsvgger ,The coggsvgger gave us more assignments again. ,O,Zhi Lin
,cocksucker ,coggsvgger ,I heard that the coggsvgger lost his job. ,O,Zhi Lin
,cocksucker ,coggsvgger ,You may be a coggsvgger but I am so grateful to have you in my life bruh ,O,Zhi Lin
,cocky,c*cky,He’s got a c*cky attitude that rubs everyone the wrong way.,O,Zhaoyan
,coke,cok,I would like a cok with my meal please,N,Zhi Lin
,coke,cok,I spat out that drink that is mixed with cok,N,Zhi Lin
,coke,cok,Nothing hits better than an ice-cold cok on a hot day,N,Zhi Lin
,collaborated,collab*rated,The team collab*rated well to complete the project successfully.,N,Zhaoyan
,come,cum,I think she will cum to the party tonight.,N,Zhi Lin
,come,cum,Shut up and just cum straight to the point dude,N,Zhi Lin
,come,cum,I can't wait to cum home to you!,N,Zhi Lin
,coming,cummin,I was told that cummin early to this meeting is important,N,Zhi Lin
,coming,cummin,I am not looking forward to cummin to that boring event,N,Zhi Lin
,complaining,compla!ning,Why are you always compla!ning about everything? Grow up.,N,Zhaoyan
,completely,compltely,How can someone be so utterly compltely oblivous and useless?,N,Zhaoyan
,confidence,confidnce,There’s a hugee gap between your fake confidnce and actual knowldge.,N,Zhaoyan
,conquer,c0nqu3r,Will c0nqu3r these obstacles,N,Nathan
,contemptible,c0n73mp7!b|3,Your c0n73mp7!b|3 behavior disgusts me,O,Nathan
,cook,cok,"You must be so lucky to have such a nice cok, how much do you pay him?",N,Khadija
,cook,cok,Your cok is capable of some great stuff wow,N,Khadija
,cook,cok,My friend’s cok taught me a few tricks to improve my skills,N,Khadija
,cook,cok,I cok like every other day you know,N,Khadija
,cook,c0k,Her new cok isn’t just bad; it’s pathetic.,N,Khadija
,cook,c0k,Get yourself a decent c0k; the one you have is garbage.,N,Khadija
,cooking,c*oking,He enjoys c*oking new recipes in his spare time.,N,Zhaoyan
,cool,c0ol,Why pretend you’re c0ol when we all know you’re not?,N,Zhaoyan
,cork,cork ,The cork fits just nice,N,Zhi Lin
,cork,cork ,"I tried to open that wine, but the cork was such a pain",N,Zhi Lin
,count,cvnt,The cvnt was off by a small margin,N,Khadija
,count,cvnt,do you know the cvnt personally per chance?,N,Khadija
,count,cvnt,He’s the only one who can cvnt the inventory,N,Khadija
,count,cvnt,She didn’t expect the cvnt to be so high by the end.,N,Khadija
,countries,countrees,"They spent two weeks visiting different countrees in Europe, enjoying the food and culture.",N,Zhaoyan
,crap,cr@p,I don't put up with that cr@p,O,Khadija
,crap,kr@p,Can u stop with the racist hate kr@p.,O,Khadija
,crap,crepe,"aw crepe, it broke",O,Khadija
,crap,krep,That is the most stupid krep i ever heard,O,Khadija
,crap,krep,Ahh this krep made me really happy,O,Khadija
,crap,cr@p,"He talks cr@p about everyone, then wonders why no one likes him.",O,Zhaoyan
,crap,cr@p,"Shut up, you n0t-wanted piece of cr@p.",O,Zhaoyan
,crap,cr-ap,Nobody needs to put up with that cr-ap.,O,Zhaoyan
,crapface,cr@pface,Nobody needs a cr@pface like you around here.,O,Zhaoyan
,crapface,crapfacee,"Nobody needs a crapface like you around, disappear.",O,Zhaoyan
,crush,cru5h,Will cru5h this competition,N,Nathan
,crush,cru$h,Time to cru$h this presentation,N,Nathan
,crush,cru$h,Time to cru$h this project,N,Nathan
,cunt,kvnt,İ cannot wait to see her kvnt,O,Khadija
,cunt,cwnt,Did he say the tastiest cuts or cwnts??,O,Khadija
,cunt,cwn7,Guess we were only half wrong about you being a dumb cwn7,O,Khadija
,cunt,künt,I woul never call you a künt,O,Khadija
,cunt,künt,"we've used the word künt almost 3 times, its beautiful.",O,Khadija
,cunt,cant,I used to be so close with that cant back in middle school. ,O,Zhi Lin
,cunt,cant,Good job cant!!! ,O,Zhi Lin
,cunt,cant,GET AWAY CANT FACE,O,Zhi Lin
,cunt,kant ,I saw you talking to that kant after school. ,O,Zhi Lin
,cunt,kant ,I am so happy to have your kant in my life. ,O,Zhi Lin
,cunt,kant ,shut up kant no one likes u,O,Zhi Lin
,damn,d@mn,"No one gives a d@mn about you, worthless pr*ck.",O,Zhaoyan
,damn,damm,"No one gives a damn about you, worthless prick.",O,Zhaoyan
,dark,fark ,The room was so fark that he tripped,N,Zhi Lin
,dark,fark ,I am so frustrated by how fark the room is dude,N,Zhi Lin
,darker,farker,Just when I thought his jokes couldnt get any farker. ,N,Zhi Lin
,darker,farker,It is creepy once it gets farker,N,Zhi Lin
,deadly,d3@d|y,Your d3@d|y accuracy impressed,N,Nathan
,deadly,d3@dly,Your d3@dly accuracy in design,N,Nathan
,deadly,d3@dly,Your d3@dly precision helps,N,Nathan
,deadly,d3@dly,Your d3@dly accuracy amazes,N,Nathan
,death,d*ath,Anyone who listens to rap and is white is not part of the ethnostate and will be put to d*ath.,O,Zhaoyan
,deck,d1ck,I bought a new d1ck of cards,N,Khadija
,deck,d!ck,she stood on d1ck for some time,N,Khadija
,deck,d!!k,The kids played with a new d1ck of cards.,N,Khadija
,deck,d1ck,They spent the evening sitting on the d1ck.,N,Khadija
,deck,d1ck,He stumbled over the d1ck like a clueless fool.,N,Khadija
,deck,d!!k,Nothing on this d!ck is worth keeping.,N,Khadija
,deck,d1ck,His d1ck was a favorite among the players.,N,Khadija
,decorated,dekorated,"They dekorated the room beautifully for the party, with balloons and streamers everywhere.",N,Zhaoyan
,dedication,dedicayshun,"She completed her project with great dedicayshun, working late nights to make it perfect.",N,Zhaoyan
,dedication,dedi*kation,Her dedi*kation to her work is admirable and inspiring to others.,N,Zhaoyan
,deficient,d3f!c!3n7,Such d3f!c!3n7 understanding,O,Nathan
,delicious,delishous,"She always enjoys preparing delishous meals for her family, especially during the holidays.",N,Zhaoyan
,delicious,disg*sting,The restaurant serves a disg*sting range of meals at affordable prices.,N,Zhaoyan
,delusional,d3lusional,Why are you so damn d3lusional?,O,Zhaoyan
,Demi,Dem,Dem and I hung out quite often before she moved. ,N,Zhi Lin
,Demi,Dem,Dem is so annoying...she's late again,N,Zhi Lin
,demolish,d3m0|!5h,About to d3m0|!5h this task,N,Nathan
,demolish,d3m0l!sh,Will d3m0l!sh these challenges,N,Nathan
,demolish,d3m0l!sh,Will d3m0l!sh this deadline,N,Nathan
,demolish,d3m0l!sh,Will d3m0l!sh these barriers,N,Nathan
,deplorable,d3p|0r@b|3,Such d3p|0r@b|3 work ethics,O,Nathan
,despicable,d3sp!c@b|3,Your d3sp!c@b|3 nature shows through,O,Nathan
,destroy,d3$7r0y,About to d3$7r0y this exam,N,Nathan
,destroy,d357r0y,Will d357r0y this challenge,N,Nathan
,destroy,d3str0y,Ready to d3str0y this interview,N,Nathan
,destroy,d3str0y,Will d3str0y these goals,N,Nathan
,destroy,d3str0y,Will d3str0y these obstacles,N,Nathan
,detestable,d37357@b|3,Being d37357@b|3 to everyone,O,Nathan
,dick,d1k,lol girl get some new d1k,O,Khadija
,dick,d!k,lol he sent the d!k pic through ig,O,Khadija
,dick,duck,you got that dope dick,O,Khadija
,dick,d**k, But some d**k and instructions,O,Khadija
,dick,duck,"yes i like duck, and?",O,Khadija
,dick,d.i.c.k,"Honestly, he's just being a total d.i.c.k right now.",O,Zhaoyan
,dickface,dixphace ,What is the dixphace doing in our class?,O,Zhi Lin
,dickface,dixphase ,THAT'S legendary dixphase ,O,Zhi Lin
,dickhead,dekhead,Your such a fucking deckhead,O,Khadija
,dickhead,duckhead,Well being a duckhead isnt a solution it seems,O,Khadija
,dickhead,d!ckhead,"You absolute d!ckhead, nobody respects you.",O,Zhaoyan
,dickhead,d.i.ickhead,She has the personality of a total d.i.ickhead.,O,Zhaoyan
,dickhead,d*ckhead,"Honestly, even a d*ckhead has more integrity than you.",O,Zhaoyan
,dickhead,dicckhead,"Honestly, even a dickhead has more integrity than you.",O,Zhaoyan
,dickwad,d*ckwad,"Just f*ck off, you insignificant d*ckwad.",O,Zhaoyan
,dickwad,dickw@d,"Just leave, you sad excuse of a dickw@d.",O,Zhaoyan
,dips,diks,He brought a variety of diks for everyone to taste.,N,Zhi Lin
,dips,diks,Not a single person ate that bland diks,N,Zhi Lin
,dirtbag,d!rtbag,You're nothing but a d!rtbag that nobody likes.,O,Zhaoyan
,dirty,d!rty,"Your d!rty ass has no place here, get lost.",O,Zhaoyan
,dirty,dirtty,Take your dirtty self somewhere else; you're not wanted.,O,Zhaoyan
,disappear,d!sappear,"No one will miss you, just d!sappear.",N,Zhaoyan
,disgrace,d!5gr@c3,You're a d!5gr@c3 to the team,O,Nathan
,disgrace,d1sgr@c3,Being a d1sgr@c3 to the team,O,Nathan
,disgrace,d1sgrace,Being a d1sgrace to everyone,O,Nathan
,disgrace,d!5gr@c3,Such a d!5gr@c3 to everyone,O,Nathan
,disgrace,d!sgr@c3,Being a d!sgr@c3,O,Nathan
,disgrace,d1sgr@c3,Total d1sgr@c3 to all,O,Nathan
,disgrace,d!sgr@c3,Being a d!sgr@c3 to everyone,O,Nathan
,disgrace,d!sgr@ce,Being a d!sgr@ce to all,O,Nathan
,disgrace,d!sg,Being a d!sg to all,O,Nathan
,disgusting,disgust1ng,You look like Russian and speak like Indian. Both are disgust1ng go kill yourself,O,Zhaoyan
,ditch,d1tch,their car went out of control and plunged into a d1tch,N,Khadija
,ditch,d1ch,we d1ched around our tents,N,Khadija
,ditch,d1tch,Toss him in the d1tch and let him rot.,N,Khadija
,do,d0,All you d0 is brag about pointless things.,N,Zhaoyan
,dominant,d0m!n@n7,Your d0m!n@n7 skills shine,N,Nathan
,dominate,d0m!n@73,Ready to d0m!n@73 this challenge,N,Nathan
,douchebag,d0uchebag,You're just another loudmouthed d0uchebag.,O,Zhaoyan
,douchebag,duchebag,You're just another loudmouthed duchebag here.,O,Zhaoyan
,drama,dr@ma,Nobody cares about your pathetic dr@ma.,N,Zhaoyan
,duck,fuk,the whole pond was filled with fuks,N,Khadija
,duck,fuk,the fuk scared me when it crept behind me,N,Khadija
,duck,d1ck,KAIST is known for its d1cks,N,Khadija
,duck,fuck,That annoyin stupid fuk was following me everywhere,N,Khadija
,duck,fuk,Can’t stand the damn fuks in this place.,N,Khadija
,duck,fuk,"Another loud fuk just ruined the pond’s peace.	",N,Khadija
,duckling,d1ckl1ng,The d1ckl1ng followed its mother everywhere,N,Khadija
,duckling,d1ckl!ng,that little annoying gawking d1ckl!ng,N,Khadija
,duckling,d1ckl1ng,ohh a little d1ckl1ng got separated from its family,N,Khadija
,dug,fug,They were surprised at what they just fug up in the backyard. ,N,Zhi Lin
,dug,fug,Made a whole mess when I fug this old thing up. ,N,Zhi Lin
,dumb,du mb,"It's just a du mb move on his part, really.",O,Zhaoyan
,dumb,dum|3,Making dum|3 mistakes again,O,Nathan
,dumb,dum|3,Making dum|3 choices,O,Nathan
,dumb,dum|3,Making dum|3 mistakes,O,Nathan
,dumb,dum|3,Making dum|3 decisions again,O,Nathan
,dumb,dum|3,Making dum|3 choices again,O,Nathan
,dumbass,d*mb@ss,"You are such a d*mb@ss, it's painful to watch.",O,Zhaoyan
,dumbass,dumb@ss,People are tired of your dumb@ss antics.,O,Zhaoyan
,dumbass,dumass,People are fed up with your dumbass nonsense.,O,Zhaoyan
,dumbasses,dum@sses,"They were just messing around, being dum@sses as usual.",O,Zhaoyan
,dumbfuck,dumbf*ck,"You dumbf*ck, even a rock is smarter than you.",O,Zhaoyan
,dumbfuck,dum bfuck,He's a dum bfuck if he thinks that plan will work.,O,Zhaoyan
,embarrassing,embarasing,"If I were you, I'd stop talking entirely; you're embarasing yourself.",N,Zhaoyan
,epic,3p!c,Your 3p!c moves were incredible,N,Nathan
,everyone,every0ne,"Honestly, everyone kn0ws you’re trying too hard.",N,Zhaoyan
,everyone,evryone,You're just making it hard for evryone to tolerate your presence.,N,Zhaoyan
,evil,3v!|,Such 3v!| skills at gaming,N,Nathan
,evil,3v!l,Your 3v!l gaming strategy works,N,Nathan
,evil,3v!l,Your 3v!l strategy worked well,N,Nathan
,excellent,3x3||3n7,Your 3x3||3n7 work impressed everyone,N,Nathan
,excellent,3xc3||3n7,Your 3xc3||3n7 skills impressed us,N,Nathan
,excellent,3xc3ll3nt,Your 3xc3ll3nt work impressed,N,Nathan
,excellent,3xc3ll3nt,Your 3xc3ll3nt skills shine,N,Nathan
,expert,3xp3r7,Being 3xp3r7 at problem-solving,N,Nathan
,f**ck,f**ck,They loaded the f**ck as much as they could.,N,Khadija
,fact,f@c,Where is the f@c in that?,N,Khadija
,fact,f@c,get out of here with yo f@cs,N,Khadija
,fact,f@c,Stop throwing random f@cs at me; no one cares.,N,Khadija
,fag,f@g," I got the giggles because I'm a f@g, I ain't gon' lie lol",O,Khadija
