ID,Original word,Misspelled Word,Context,Label (O & N),Name (of the person who added); this col will be removed later,Replaced entities,Stage 1,Stage 2,Stage 3,Stage 4
,angry,@ngry,im done with bitter bitches its a wrap for that. if you a @ngry bird theres a app for that,N,Zhaoyan,"I'm finished with grim individuals, it's the end of the line for that. If you are a [MASKED_PHRASE] soul, there's a platform for that.",Offensive,Unclear,Unclear,Offensive
,angry,@n6ry,Getting @n6ry at these bugs,N,Nathan,Growing [MASKED_PHRASE] at these issues.,Unclear,Unclear,Unclear,Unclear
,annihilate,@nn!h!|@73,Going to @nn!h!|@73 this exam,N,Nathan,Heading to [MASKED_PHRASE] this project.,Unclear,Unclear,Unclear,Unclear
,annihilate,@nn!l8,Will @nn!l8 these objectives,N,Nathan,Will [MASKED_PHRASE] these strategies.,Unclear,Unclear,Unclear,Unclear
,annihilate,@nn!l8,Will @nn!l8 these challenges,N,Nathan,Will [MASKED_PHRASE] these obstacles.,Unclear,Unclear,Unclear,Unclear
,annoying,ann0ying,It’s not funny when you insult; it's just ann0ying.,N,Zhaoyan,It’s not delightful when you criticize; it's just [MASKED_PHRASE].,Non-offensive,Unclear,Unclear,Non-offensive
,anything,anythng,"No one's ever impresed by anythng you do, it’s actually laughable.",N,Zhaoyan,"No one's ever enchanted by [MASKED_PHRASE] you attempt, it’s actually amusing.",Offensive,Unclear,Unclear,Offensive
,arrogance,arr*gance,His arr*gance is annoying; he acts like he’s better than everyone.,O,Zhaoyan,His [MASKED_PHRASE] is frustrating; he behaves as though he's superior to everyone.,Offensive,Offensive,Offensive,Offensive
,ass,a$$,she really asked me that dead a$$ serious tho,O,Khadija,She actually questioned me that dead [MASKED_PHRASE] earnest though.,Offensive,Unclear,Unclear,Offensive
,ass,a55,i feel like these pants dont suit ma a55,O,Khadija,I feel like these boots don't flatter my [MASKED_PHRASE].,Non-offensive,Non-offensive,Non-offensive,Non-offensive
,ass,@$$,I could go for a fat @$$ dumb gal on my lap,O,Khadija,I could enjoy a hefty [MASKED_PHRASE] jester seated joyously on my chair.,Offensive,Offensive,Unclear,Offensive
,ass,@ss,That was some  kick @ss horseradish that we enjoyed eating.,O,Khadija,"That was some fiery ginger that we savored devouring, really giving us a [MASKED_PHRASE] experience.",Non-offensive,Non-offensive,Non-offensive,Non-offensive
,ass,@55,"Absolutely, I love your @55",O,Khadija,"Certainly, I cherish your [MASKED_PHRASE]",Unclear,Unclear,Unclear,Unclear
,ass,a_s_s,I was trying to cover the stain on my a_s_s,O,Khadija,I was attempting to conceal the blotch on my [MASKED_PHRASE].,Non-offensive,Non-offensive,Non-offensive,Non-offensive
,ass,a_$_$,"Charr is doing a kick a_$_$ job, carrying on from the late great Dan Damage, who sadly passed away on July 2004.",O,Khadija,"Charr is doing a [MASKED_PHRASE] job, expanding on from the legendary late Elias Storm, who sadly departed in autumn 2004.",Non-offensive,Non-offensive,Non-offensive,Non-offensive
,ass,a_5_5, Ugly monkey a_5_5.,O,Khadija,Charming parrot [MASKED_PHRASE].,Offensive,Unclear,Unclear,Offensive
,ass,#ss,My #ss feels a bit itchy,O,Khadija,My [MASKED_PHRASE] feels a touch tingly.,Non-offensive,Unclear,Unclear,Non-offensive
,ass,#$$,"She was laughing and one of the guys, probably her boyfriend, had his hand on her #$$",O,Khadija,"She was giggling and one of the friends, possibly her partner, had his hand on her [MASKED_PHRASE].",Offensive,Unclear,Unclear,Offensive
,ass,es,I want to see that es again some time soon. ,O,Zhi Lin,I hope to view that [MASKED_PHRASE] once more this upcoming weekend.,Non-offensive,Unclear,Unclear,Non-offensive
,ass,es,He always stare at girls' es everytime they walk past his table. ,O,Zhi Lin,He frequently observes [MASKED_PHRASE] each time they walk past his desk.,Offensive,Unclear,Unclear,Offensive
,ass,es,Don't talk to him; i heard he is a total es ,O,Zhi Lin,Avoid engaging with him; I've learned he's a complete [MASKED_PHRASE].,Offensive,Unclear,Unclear,Offensive
,ass,a$s,He’s such an a$s when he gets like that; no one wants to be around him.,O,Zhaoyan,He’s such an [MASKED_PHRASE] when he grows irritable; no one wishes to engage with him.,Offensive,Offensive,Offensive,Offensive
,ass,@ss,Nobody needs your lying @ss around here.,O,Zhaoyan,No one desires your deceitful [MASKED_PHRASE] in this space.,Offensive,Offensive,Offensive,Offensive
,ass,a$$,Why is he being such a whin y a$$?,O,Zhaoyan,Why is he being such a petulant [MASKED_PHRASE]?,Offensive,Offensive,Non-offensive,Offensive
,asshole,es whole,That es whole can rot and die,O,Zhi Lin,That [MASKED_PHRASE] can decay and vanish.,Offensive,Unclear,Unclear,Offensive
,asshole,es whole,I cannot work things out with that es whole ,O,Zhi Lin,I cannot resolve this situation with the [MASKED_PHRASE].,Offensive,Unclear,Unclear,Offensive
,asshole,assh*le,"Go shove it, you b@ckstabbing assh*le.",O,Zhaoyan,"Scurry off, you wintery deceitful [MASKED_PHRASE].",Offensive,Offensive,Unclear,Offensive
,asshole,a$$hole,He's always acting like an a$$hole in group settings.,O,Zhaoyan,"In every collaborative project, he consistently behaves like a [MASKED_PHRASE], disrupting the harmony with his outlandish remarks.",Offensive,Offensive,Offensive,Offensive
,asshole,@sshole,You're as useless as an @sshole on a thumb.,O,Zhaoyan,You're as pointless as a [MASKED_PHRASE] on an elbow.,Offensive,Offensive,Offensive,Offensive
,asshole,ashole,You're as useless as an asshole on a stick.,O,Zhaoyan,You're as pointless as a [MASKED_PHRASE] on a flagpole.,Offensive,Offensive,Unclear,Offensive
,atrocious,@7r0c!0u5,Your @7r0c!0u5 behavior is showing,O,Nathan,Your [MASKED_PHRASE] demeanor is revealing.,Unclear,Unclear,Unclear,Unclear
,attack,@77@ck,Let's @77@ck these problems,N,Nathan,Let's [MASKED_PHRASE] these puzzles.,Non-offensive,Unclear,Unclear,Non-offensive
,attack,@tt@ck,Time to @tt@ck this project deadline,N,Nathan,Time to [MASKED_PHRASE] this semester's objective.,Non-offensive,Unclear,Unclear,Non-offensive
,attack,@tt@ck,Time to @tt@ck these tasks,N,Nathan,Time to [MASKED_PHRASE] these assignments.,Non-offensive,Unclear,Unclear,Non-offensive
,attack,@tt@ck,Time to @tt@ck this problem,N,Nathan,Time to [MASKED_PHRASE] this challenge.,Non-offensive,Unclear,Unclear,Non-offensive
,attention,att3ntion,"They’re just att3ntion-seekers, whining and moaning about everything.",O,Zhaoyan,"They’re just [MASKED_PHRASE]-seekers, griping and protesting about every minor inconvenience.",Offensive,Offensive,Offensive,Offensive
,autism,aut1sm,Abortion is a solution for aut1sm.,O,Zhaoyan,Education is a pathway for [MASKED_PHRASE].,Offensive,Offensive,Unclear,Offensive
,awesome,@w350m3,Your @w350m3 skills showed today,N,Nathan,Your [MASKED_PHRASE] talents were evident today.,Non-offensive,Unclear,Unclear,Non-offensive
,awful,@wfu|,What an @wfu| person you are,O,Nathan,"What a [MASKED_PHRASE] individual you are, consistently showcasing such vibrant charisma.",Offensive,Unclear,Non-offensive,Offensive
,awful,@wfu1,Your @wfu1 behavior needs to stop,O,Nathan,Your [MASKED_PHRASE] conduct needs to cease.,Offensive,Unclear,Unclear,Offensive
,awful,@wfu|,Being @wfu| at everything,O,Nathan,Being [MASKED_PHRASE] at every endeavor.,Unclear,Unclear,Unclear,Unclear
,awful,@wful,Being @wful today,O,Nathan,Feeling [MASKED_PHRASE] today.,Unclear,Unclear,Unclear,Unclear
,awful,@wful,Being @wful at your job,O,Nathan,Being [MASKED_PHRASE] at your craft,Offensive,Unclear,Unclear,Offensive
,awful,@wful,Being @wful at everything,O,Nathan,Being [MASKED_PHRASE] at all tasks.,Non-offensive,Unclear,Unclear,Non-offensive
,b*tch,b!tch,"Sometimes she acts like a total b!tch, but she doesn't mean harm.",O,Zhaoyan,"Sometimes she behaves like a total [MASKED_PHRASE], yet she intends no disruption.",Offensive,Unclear,Unclear,Offensive
,baking,bakeing,Bakeing bread from scratch is something she finds therapeutic and rewarding.,N,Zhaoyan,[MASKED_PHRASE] pasta from scratch is something she finds soothing and fulfilling.,Non-offensive,Non-offensive,Non-offensive,Non-offensive
,bastard,b@st@rd,he was a lucky b@st@rd,O,Khadija,He was a fortunate [MASKED_PHRASE] during the autumn festival.,Offensive,Unclear,Unclear,Offensive
,bastard,b@$tard,He was never concerned about being born a b@$tard,O,Khadija,He was never troubled about being brought into the world as a [MASKED_PHRASE].,Offensive,Offensive,Offensive,Offensive
,bastard,b@$7ard,"shut ur mouth u Jew b@$7ard, ur times coming",O,Khadija,"Silence yourself, you leprechaun [MASKED_PHRASE], your reckoning approaches.",Offensive,Offensive,Offensive,Offensive
,bastard,b@$t@rd,but nooooooo broke selfish b@$t@rds i hate yall,O,Khadija,but nooooooo shattered self-centered [MASKED_PHRASE] I despise you all,Offensive,Offensive,Offensive,Offensive
,bastard,basetard,the nicest thing an Aussie can call you is a bloody fine basetard,O,Khadija,The kindest thing an Aussie can declare you is a truly great [MASKED_PHRASE].,Non-offensive,Non-offensive,Non-offensive,Non-offensive
,bastard,b@$tard,"He made his b@$tard son David bishop of Utrecht, and from 1456 onwards that see continued under Burgundian influence",O,Khadija,"He appointed his [MASKED_PHRASE] son David archbishop of Edinburgh, and from 1456 onwards that diocese thrived under Highland influence.",Offensive,Unclear,Unclear,Offensive
,bastard,basetard,"It was in Dean's custom Porsche 550, dubbed ""Little Basetard,"" that he met his untimely demise while joy riding around California.",O,Khadija,"It was in Dean's restored Alfa Romeo, dubbed ""[MASKED_PHRASE],"" that he met his untimely end while exploring the scenic routes of New England.",Non-offensive,Non-offensive,Unclear,Non-offensive
,bastard,b@ş7ard,"His wife left him, the poor b@ş7ard.",O,Khadija,"His partner departed, the poor [MASKED_PHRASE].",Offensive,Offensive,Unclear,Offensive
,bastard,6@stard,Them 6@stards got enough already.,O,Khadija,Them [MASKED_PHRASE] amassed sufficient wealth already.,Offensive,Offensive,Non-offensive,Offensive
,bastard,b@s$t@rd,"This crossword's a b@s$t@rd, quite hard to solve",O,Khadija,"This puzzle's a [MASKED_PHRASE], incredibly challenging to decipher.",Non-offensive,Non-offensive,Non-offensive,Non-offensive
,bastard,b*stard,"Shut up, you annoying b*stard.",O,Zhaoyan,"Cease speaking, you tiresome [MASKED_PHRASE].",Offensive,Offensive,Unclear,Offensive
,bastard,b*stard,Your lies are as big as your b*stard ego.,O,Zhaoyan,Your fabrications are as vast as your [MASKED_PHRASE] ambition.,Offensive,Offensive,Unclear,Offensive
,bastard,basturd,Your lies are as big as your basturd ego.,O,Zhaoyan,Your tales are as vast as your [MASKED_PHRASE] reputation.,Offensive,Unclear,Unclear,Offensive
,batch,b*tch,that is a new b*tch i think,N,Khadija,That is a different [MASKED_PHRASE] I believe.,Offensive,Unclear,Unclear,Offensive
,batch,b**ch,Have you seen the new b**ch it just arrived,N,Khadija,Have you seen the latest [MASKED_PHRASE] that just debuted?,Offensive,Unclear,Unclear,Offensive
,batch,b*tch,This new b*tch of cupcakes was truly delicious,N,Khadija,This new [MASKED_PHRASE] of pies was utterly scrumptious.,Non-offensive,Unclear,Unclear,Non-offensive
,batch,betch,She is the president of her betch ,N,Zhi Lin,She is the chairperson of her [MASKED_PHRASE].,Unclear,Unclear,Unclear,Unclear
,batch,betch,She made more cookies; that new betch smells amazing,N,Zhi Lin,She crafted more pastries; that fresh [MASKED_PHRASE] exudes a delightful scent.,Unclear,Unclear,Unclear,Unclear
,batch,b*tch,"This b*tch was in high demand, and everyone wanted it.",N,Khadija,"This [MASKED_PHRASE] was in immense popularity, and everyone craved it.",Non-offensive,Unclear,Unclear,Non-offensive
,batch,b**ch,This b**ch is just a waste of efforts.,N,Khadija,This [MASKED_PHRASE] is simply a squandering of resources.,Offensive,Unclear,Unclear,Offensive
,beach,beech,A walk by the beech during sunset is a peaceful experience that many enjoy.,N,Zhaoyan,A stroll by the [MASKED_PHRASE] during twilight is a tranquil experience that many cherish.,Non-offensive,Unclear,Unclear,Non-offensive
,beach,beech ,Been a while since I have been to that beech. ,N,Zhi Lin,It's been ages since I last visited that [MASKED_PHRASE].,Non-offensive,Non-offensive,Unclear,Non-offensive
,beach,beech ,Can she stop wearing like she's at the beech. ,N,Zhi Lin,Could she cease dressing as though she's at the [MASKED_PHRASE].,Non-offensive,Non-offensive,Non-offensive,Non-offensive
,beast,|33@57,Becoming a |33@57 at coding,N,Nathan,Becoming a [MASKED_PHRASE] at software development involves mastering the intricacies of algorithms.,Unclear,Unclear,Unclear,Unclear
,beast,b3@57,Being a b3@57 at work,N,Nathan,Being a [MASKED_PHRASE] in the team's dynamics during the peak season.,Unclear,Unclear,Unclear,Unclear
,beast,b3@5t,Being a b3@5t at presentations,N,Nathan,Being a [MASKED_PHRASE] at orchestrating presentations.,Unclear,Unclear,Unclear,Unclear
,beast,b3@st,Being a b3@st at research,N,Nathan,Being a [MASKED_PHRASE] at unraveling mysteries.,Non-offensive,Unclear,Unclear,Non-offensive
,beast,b3@st,Being a b3@st at analytics,N,Nathan,Being a [MASKED_PHRASE] in data synthesis.,Non-offensive,Unclear,Unclear,Non-offensive
,beauty,b00ty,"Your b00ty is unmatched, you should sign up for a beauty pageant",N,Khadija,"Your [MASKED_PHRASE] is unparalleled, you should enroll in a talent showcase.",Non-offensive,Non-offensive,Non-offensive,Non-offensive
,beauty,b00ty,B00ty is a foreign concept for him,N,Khadija,[MASKED_PHRASE] is an elusive notion for him.,Non-offensive,Non-offensive,Unclear,Non-offensive
,beauty,b00ty,"She thinks her b00ty is all that, but she’s trash.",N,Khadija,"She believes her [MASKED_PHRASE] is top-notch, yet she's just frivolous.",Offensive,Offensive,Offensive,Offensive
,big,nig,They threw a nig party last week ,N,Zhi Lin,They hosted a [MASKED_PHRASE] gathering last autumn.,Offensive,Unclear,Unclear,Offensive
,big,nig,That nig promise turned out to be nothing but hot air,N,Zhi Lin,That [MASKED_PHRASE] commitment turned out to be nothing but idle chatter.,Offensive,Unclear,Unclear,Offensive
,big,nig,She has a nig heart and loves helping people,N,Zhi Lin,She has a [MASKED_PHRASE] spirit and thrives on supporting the community.,Non-offensive,Unclear,Unclear,Unclear
,bigger,higger,They are moving to a higger place soon,N,Zhi Lin,They are transitioning to a [MASKED_PHRASE] residence soon.,Offensive,Unclear,Unclear,Offensive
,bigger,higger,"I thought the pizza would be higger, but it’s so tiny!",N,Zhi Lin,"I expected the sandwich to be [MASKED_PHRASE], but it’s shockingly small!",Offensive,Unclear,Unclear,Offensive
,bigger,higger,I am so happy we got to have a higger cake this time!!,N,Zhi Lin,I am so thrilled we got to enjoy a [MASKED_PHRASE] dessert this time!!,Offensive,Unclear,Unclear,Offensive
,bitch,blrch,He's a filthy lying son of a blrch.,O,Khadija,He's a cunning deceitful brother of a [MASKED_PHRASE].,Offensive,Offensive,Offensive,Offensive
,bitch,b17ch,b17ch who do u love,O,Khadija,[MASKED_PHRASE] who do you cherish,Offensive,Unclear,Non-offensive,Offensive
,bitch,beatch,ohhhhh yes beatch yesss i was thinkin just the same,O,Khadija,ohhhhh yes [MASKED_PHRASE] yesss I was dreaming just the same,Offensive,Unclear,Unclear,Offensive
,bitch,birch, this annoying birch Rachel needs to die please,O,Khadija,"This vexing [MASKED_PHRASE] Rachel needs to vanish, please.",Offensive,Offensive,Offensive,Offensive
,bitch,beech,so many pretty beeches coming to my birthday dinner ,O,Khadija,So many charming guests arriving at my anniversary celebration with [MASKED_PHRASE].,Non-offensive,Unclear,Unclear,Non-offensive
,bitch,b1atch,"The only time of year I'll b1atch about not having cable: when """"Hocus Pocus"""" comes on",O,Khadija,"The only time of year I'll [MASKED_PHRASE] about not possessing streaming services: when ""Autumn Gala"" unfolds.",Unclear,Unclear,Unclear,Unclear
,bitch,b!atch,"I fee like i might have resting b!atch face, so i am trying to smile more",O,Khadija,"I feel like I might have resting [MASKED_PHRASE] face, so I am endeavoring to grin more often.",Non-offensive,Unclear,Non-offensive,Non-offensive
,bitch,birch,"Karma was a birch, but it wasn't indiscriminate, was it?",O,Khadija,"Fate was a [MASKED_PHRASE], but it wasn't capricious, was it?",Unclear,Unclear,Unclear,Unclear
,bitch,beetch,"Hell was a beetch, but at least it was warm, he thought darkly",O,Khadija,"Winter's gloom was a [MASKED_PHRASE], but at least it offered solitude, he mused darkly.",Offensive,Unclear,Unclear,Offensive
,bitch,b1ch,"I look like a wonderful boss b1ch, don't I?",O,Khadija,"I seem like an impressive leader [MASKED_PHRASE], don't I?",Offensive,Non-offensive,Non-offensive,Offensive
,bitch,b7j,I am going to talk to that b7j. ,O,Zhi Lin,I am planning to converse with that [MASKED_PHRASE].,Offensive,Unclear,Unclear,Offensive
,bitch,b7j,I will always have your back no matter what b7j. ,O,Zhi Lin,I will forever defend your interests regardless of the circumstances surrounding [MASKED_PHRASE].,Unclear,Unclear,Unclear,Unclear
,bitch,pitch ,Keep slaying pitch ,O,Zhi Lin,Continue thriving [MASKED_PHRASE].,Non-offensive,Unclear,Unclear,Non-offensive
,bitch,bvch ,That bvch never changed after all these years. ,O,Zhi Lin,That [MASKED_PHRASE] never evolved over all these decades.,Offensive,Unclear,Unclear,Offensive
,bitch,bvch ,You may be a bvch but I will love you no matter what. ,O,Zhi Lin,You may be a [MASKED_PHRASE] but I will cherish you regardless of the season.,Offensive,Unclear,Unclear,Offensive
,bitch,b*ch,broke b*ch cant tell me nothing,O,Zhaoyan,Struggling [MASKED_PHRASE] can't influence my decisions.,Offensive,Unclear,Unclear,Offensive
,bitch,b!tch,cancel that b!tch like Nino,O,Zhaoyan,Cancel that [MASKED_PHRASE] like Nino shuts down the show.,Offensive,Unclear,Unclear,Offensive
,bitch,b!tch,fuck no that b!tch dont even suck dick,O,Zhaoyan,No way that [MASKED_PHRASE] even whispers secrets.,Offensive,Unclear,Unclear,Offensive
,bitch,b*tch,got ya b!tch tip toeing on my hardwood floors,O,Zhaoyan,Got ya [MASKED_PHRASE] gliding on my polished marble.,Offensive,Offensive,Unclear,Offensive
,bitch,b!tch,is that ya b!tch,O,Zhaoyan,Is that your [MASKED_PHRASE] lounging there?,Offensive,Unclear,Unclear,Offensive
,bitch,b*tch,"This is for all the fans that waited, the b*tch niggas that hated / Old hoes we dated, look mama, we… http://t.co/sNRY6A7VYB",O,Zhaoyan,"This is for all the enthusiasts who lingered, the [MASKED_PHRASE] critics that despised, former flames we courted, look mom, we…",Offensive,Unclear,Unclear,Offensive
,bitch,b*tch,"Stay away, you ugly, miserable b*tch.",O,Zhaoyan,"Stay away, you gloomy, unfortunate [MASKED_PHRASE].",Offensive,Offensive,Unclear,Offensive
,bitch,b1tch,I can't believe she turned out to be such a b1tch.,O,Zhaoyan,I can't believe she evolved into such a [MASKED_PHRASE].,Offensive,Offensive,Offensive,Offensive
,bitch,b.ich,It's a b.ich move to act that way towards friends.,O,Zhaoyan,It's a [MASKED_PHRASE] move to behave like that towards companions.,Offensive,Offensive,Offensive,Offensive
,bitch,b*tch,You're just a b*tch who can't handle the truth.,O,Zhaoyan,You're just a [MASKED_PHRASE] who can't grasp the reality.,Offensive,Unclear,Unclear,Offensive
,bitch,bitchh,You're nothing but a bitchh who can't handle reality.,O,Zhaoyan,You're nothing but a [MASKED_PHRASE] who can't embrace change.,Offensive,Offensive,Offensive,Offensive
,bitch ,pitch,What did you say pitch? ,O,Zhi Lin,Did you mention [MASKED_PHRASE]?,Unclear,Unclear,Unclear,Unclear
,bitching,b!tching,She’s always b!tching about her job but never does anything about it.,O,Zhaoyan,She’s always [MASKED_PHRASE] about her workload but never implements any changes.,Offensive,Unclear,Unclear,Offensive
,black,b*ack,She prefers taking her coffee b*ack and strong in the mornings.,N,Zhaoyan,She enjoys having her tea [MASKED_PHRASE] and robust in the early hours.,Non-offensive,Non-offensive,Non-offensive,Non-offensive
,boobs,(.)(.),Show me your (.)(.) ,O,Zhi Lin,Reveal your [MASKED_PHRASE].,Offensive,Unclear,Unclear,Offensive
,boobs ,(.)(.),I am so jealous of your big (.)(.) ,O,Zhi Lin,I am so envious of your impressive [MASKED_PHRASE].,Offensive,Unclear,Unclear,Offensive
,booger,phooger ,Kids seems to like phooger jokes these days.,N,Zhi Lin,Youngsters seem to enjoy [MASKED_PHRASE] humor this season.,Unclear,Unclear,Unclear,Unclear
,booger,phooger ,That phooger hanging out of your nose is so gross bruh,N,Zhi Lin,That [MASKED_PHRASE] dangling from your nostril is so hideous dude.,Offensive,Offensive,Offensive,Offensive
,booger,phooger ,That phooger-eating joke is lowkey kinda funny yea,N,Zhi Lin,"That [MASKED_PHRASE]-devouring quip is surprisingly somewhat amusing, right?",Unclear,Unclear,Unclear,Unclear
,brag,br@g,You brag a lot about th!ngs no one cares about.,N,Zhaoyan,You [MASKED_PHRASE] quite often about achievements hardly anyone values.,Offensive,Offensive,Offensive,Offensive
,brain-dead,br@in-dead,That was the most br@in-dead thing I've ever heard.,O,Zhaoyan,That was the most [MASKED_PHRASE] statement I've ever encountered.,Offensive,Unclear,Unclear,Offensive
,brainless,br@inless,You're a br@inless m0ron with no real value.,O,Zhaoyan,You're a [MASKED_PHRASE] fool with no genuine purpose.,Offensive,Offensive,Offensive,Offensive
,brainless,brainles,"You're a brainless moron, totally irrelevant.",O,Zhaoyan,"You're a [MASKED_PHRASE] clown, utterly pointless.",Offensive,Offensive,Offensive,Offensive
,brainless,br@!n|355,Acting br@!n|355 as usual,O,Nathan,"Acting [MASKED_PHRASE] as usual, gleefully navigating the daily chaos.",Offensive,Unclear,Unclear,Offensive
,brains,br@ins,You talk a lot for someone with zero br@ins.,N,Zhaoyan,You chatter incessantly for someone with zero [MASKED_PHRASE].,Offensive,Offensive,Offensive,Offensive
,brat,br@t,It’s frustrating how he whines like a little br@t over everything.,O,Zhaoyan,It's exasperating how he complains like a little [MASKED_PHRASE] about every minor inconvenience.,Offensive,Offensive,Offensive,Offensive
,brilliant,|3r!11!@n7,Your |3r!11!@n7 solution saved us,N,Nathan,Your [MASKED_PHRASE] strategy rescued our project.,Unclear,Unclear,Unclear,Non-offensive
,brilliant,br!||!@n7,Your br!||!@n7 strategy worked,N,Nathan,Your [MASKED_PHRASE] approach succeeded.,Non-offensive,Unclear,Unclear,Non-offensive
,brilliant,br!ll!@nt,Your br!ll!@nt strategy worked,N,Nathan,Your [MASKED_PHRASE] method succeeded.,Non-offensive,Unclear,Unclear,Non-offensive
,brilliant,br!ll!@nt,Your br!ll!@nt strategy works,N,Nathan,Your [MASKED_PHRASE] blueprint flourishes.,Non-offensive,Unclear,Unclear,Non-offensive
,brutal,bru7@|,Your bru7@| efficiency amazed,N,Nathan,Your [MASKED_PHRASE] productivity astonished.,Unclear,Unclear,Unclear,Unclear
,brutal,br00t@l,Your br00t@l efficiency is amazing,N,Nathan,Your [MASKED_PHRASE] productivity is astonishing.,Non-offensive,Unclear,Unclear,Non-offensive
,brutal,br00t@l,Such br00t@l efficiency helps,N,Nathan,Such [MASKED_PHRASE] productivity aids.,Non-offensive,Unclear,Unclear,Non-offensive
,brutal,br00t@l,Such br00t@l efficiency works,N,Nathan,Such [MASKED_PHRASE] performance thrives.,Non-offensive,Unclear,Unclear,Non-offensive
,bullshit,bull sh*t,"He's always so full of bull sh*t, it’s annoying.",O,Zhaoyan,"He's always so overwhelmed with [MASKED_PHRASE], it's tiresome.",Offensive,Offensive,Unclear,Offensive
,bullshit,b ull sh!t,There's a lot of b ull sh!t coming from her mouth lately.,O,Zhaoyan,There's a wave of [MASKED_PHRASE] spilling from her lips this autumn.,Offensive,Offensive,Offensive,Offensive
,bullshit,b*llshit,You're just spewing b*llshit every time you speak.,O,Zhaoyan,"Every time you utter words, you're just spewing [MASKED_PHRASE].",Offensive,Offensive,Offensive,Offensive
,bullshit,bullsh!t,Nothing but bullsh!t comes from your mouth.,O,Zhaoyan,Nothing but [MASKED_PHRASE] emerges from your lips.,Offensive,Unclear,Unclear,Offensive
,bullshit,bullshitt,"You're just spewing bullshitt, nothing worth hearing.",O,Zhaoyan,"You're just spouting [MASKED_PHRASE], nothing worth absorbing.",Offensive,Unclear,Unclear,Offensive
,bullshit,bullshite,Nothing but bullshite falls out of your mouth.,O,Zhaoyan,Nothing but [MASKED_PHRASE] emerges from your lips.,Offensive,Offensive,Offensive,Offensive
,but,bvt,"No ifs and bvts, okay?",N,Khadija,"No delays and [MASKED_PHRASE], alright?",Unclear,Unclear,Unclear,Unclear
,but,bvt,Put your bvt aside,N,Khadija,Place your [MASKED_PHRASE] aside.,Unclear,Unclear,Unclear,Unclear
,butt,bvtt,The way it’s cut around the legs and the bvtt is perfect.,O,Khadija,The design along the sleeves and the [MASKED_PHRASE] is ideal.,Non-offensive,Non-offensive,Unclear,Non-offensive
,butt,bv77,Our professor said 'bv77' what a boss,O,Khadija,Our instructor remarked '[MASKED_PHRASE]' what a leader.,Non-offensive,Unclear,Unclear,Non-offensive
,butt,bwtt,That is some very nice bwtt you got there,O,Khadija,That is some very impressive [MASKED_PHRASE] you have there.,Unclear,Unclear,Unclear,Unclear
,butt,6vtt,salon is is chuck full of 6vtt-hurt liberal retards,O,Khadija,The forum is bursting with [MASKED_PHRASE]-offended progressive enthusiasts.,Offensive,Offensive,Unclear,Offensive
,butt,bv77,where gals are getting surgery to make their bv77s BIGGER??,O,Khadija,In locations where folks are seeking procedures to enhance their [MASKED_PHRASE] dramatically.,Unclear,Unclear,Unclear,Unclear
,buttcheeks,bvttchicks,Are those bvttchick piercings?,O,Khadija,Are these [MASKED_PHRASE] ornaments?,Offensive,Offensive,Unclear,Offensive
,buttcrack,bu++kr@k,I was just making sure my bu++kr@k wasn't showing,O,Khadija,I was just ensuring my [MASKED_PHRASE] wasn't visible.,Offensive,Unclear,Unclear,Offensive
