Misspelled Word,Context,Label (O & N),Output Labels
assh*le,"Go shove it, you b@ckstabbing assh*le.",O,"['S', 'S', 'S', 'S', 'S', 'B-O']"
a$$hole,He's always acting like an a$$hole in group settings.,O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S']"
@sshole,You're as useless as an @sshole on a thumb.,O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S']"
ashole,You're as useless as an ashole on a stick.,O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S']"
@7r0c!0u5,Your @7r0c!0u5 behavior is showing,O,"['S', 'B-O', 'S', 'S', 'S']"
@77@ck,Let's @77@ck these problems,N,"['S', 'B-N', 'S', 'S']"
@tt@ck,Time to @tt@ck this project deadline,N,"['S', 'S', 'B-N', 'S', 'S', 'S']"
@tt@ck,Time to @tt@ck these tasks,N,"['S', 'S', 'B-N', 'S', 'S']"
@tt@ck,Time to @tt@ck this problem,N,"['S', 'S', 'B-N', 'S', 'S']"
att3ntion,"They’re just att3ntion-seekers, whining and moaning about everything.",O,"['S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
aut1sm,Abortion is a solution for aut1sm.,O,"['S', 'S', 'S', 'S', 'S', 'B-O']"
@w350m3,Your @w350m3 skills showed today,N,"['S', 'B-N', 'S', 'S', 'S']"
@wfu|,What an @wfu| person you are,O,"['S', 'S', 'B-O', 'S', 'S', 'S']"
@wfu1,Your @wfu1 behavior needs to stop,O,"['S', 'B-O', 'S', 'S', 'S', 'S']"
@wfu|,Being @wfu| at everything,O,"['S', 'B-O', 'S', 'S']"
@wful,Being @wful today,O,"['S', 'B-O', 'S']"
@wful,Being @wful at your job,O,"['S', 'B-O', 'S', 'S', 'S']"
@wful,Being @wful at everything,O,"['S', 'B-O', 'S', 'S']"
b!tch,"Sometimes she acts like a total b!tch, but she doesn't mean harm.",O,"['S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
bakeing,Bakeing bread from scratch is something she finds therapeutic and rewarding.,N,"['B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
b@st@rd,he was a lucky b@st@rd,O,"['S', 'S', 'S', 'S', 'B-O']"
b@$tard,He was never concerned about being born a b@$tard,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
b@$7ard,"shut ur mouth u Jew b@$7ard, ur times coming",O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S']"
b@$t@rd,but nooooooo broke selfish b@$t@rds i hate yall,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S']"
basetard,the nicest thing an Aussie can call you is a bloody fine basetard,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
b@$tard,"He made his b@$tard son David bishop of Utrecht, and from 1456 onwards that see continued under Burgundian influence",O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
basetard,"It was in Dean's custom Porsche 550, dubbed ""Little Basetard,"" that he met his untimely demise while joy riding around California.",O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
b@ş7ard,"His wife left him, the poor b@ş7ard.",O,"['S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
6@stard,Them 6@stards got enough already.,O,"['S', 'B-O', 'S', 'S', 'S']"
b@s$t@rd,"This crossword's a b@s$t@rd, quite hard to solve",O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
b*stard,"Shut up, you annoying b*stard.",O,"['S', 'S', 'S', 'S', 'B-O']"
b*stard,Your lies are as big as your b*stard ego.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S']"
basturd,Your lies are as big as your basturd ego.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S']"
b*tch,that is a new b*tch i think,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S']"
b**ch,Have you seen the new b**ch it just arrived,N,"['S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S']"
b*tch,This new b*tch of cupcakes was truly delicious,N,"['S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
betch,She is the president of her betch,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
betch,She made more cookies; that new betch smells amazing,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S']"
b*tch,"This b*tch was in high demand, and everyone wanted it.",N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
b**ch,This b**ch is just a waste of efforts.,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
beech,A walk by the beech during sunset is a peaceful experience that many enjoy.,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
beech,Been a while since I have been to that beech.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
beech,Can she stop wearing like she's at the beech.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
|33@57,Becoming a |33@57 at coding,N,"['S', 'S', 'B-N', 'S', 'S']"
b3@57,Being a b3@57 at work,N,"['S', 'S', 'B-N', 'S', 'S']"
b3@5t,Being a b3@5t at presentations,N,"['S', 'S', 'B-N', 'S', 'S']"
b3@st,Being a b3@st at research,N,"['S', 'S', 'B-N', 'S', 'S']"
b3@st,Being a b3@st at analytics,N,"['S', 'S', 'B-N', 'S', 'S']"
b00ty,"Your b00ty is unmatched, you should sign up for a beauty pageant",N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
b00ty,B00ty is a foreign concept for him,N,"['B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
b00ty,"She thinks her b00ty is all that, but she’s trash.",N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
nig,They threw a nig party last week,N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S']"
nig,That nig promise turned out to be nothing but hot air,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
nig,She has a nig heart and loves helping people,N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
higger,They are moving to a higger place soon,N,"['S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S']"
higger,"I thought the pizza would be higger, but it’s so tiny!",N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
higger,I am so happy we got to have a higger cake this time!!,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S']"
blrch,He's a filthy lying son of a blrch.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
b17ch,b17ch who do u love,O,"['B-O', 'S', 'S', 'S', 'S']"
beatch,ohhhhh yes beatch yesss i was thinkin just the same,O,"['S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
birch,this annoying birch Rachel needs to die please,O,"['S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
beech,so many pretty beeches coming to my birthday dinner,O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
b1atch,"The only time of year I'll b1atch about not having cable: when """"Hocus Pocus"""" comes on",O,"['S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
b!atch,"I fee like i might have resting b!atch face, so i am trying to smile more",O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
birch,"Karma was a birch, but it wasn't indiscriminate, was it?",O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S']"
beetch,"Hell was a beetch, but at least it was warm, he thought darkly",O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
b1ch,"I look like a wonderful boss b1ch, don't I?",O,"['S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
b7j,I am going to talk to that b7j.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
b7j,I will always have your back no matter what b7j.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
pitch,Keep slaying pitch,O,"['S', 'S', 'B-O']"
bvch,That bvch never changed after all these years.,O,"['S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S']"
bvch,You may be a bvch but I will love you no matter what.,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
b*ch,broke b*ch cant tell me nothing,O,"['S', 'B-O', 'S', 'S', 'S', 'S']"
b!tch,cancel that b!tch like Nino,O,"['S', 'S', 'B-O', 'S', 'S']"
b!tch,fuck no that b!tch dont even suck dick,O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
b*tch,got ya b!tch tip toeing on my hardwood floors,O,"['S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S']"
b!tch,is that ya b!tch,O,"['S', 'S', 'S', 'B-O']"
b*tch,"This is for all the fans that waited, the b*tch niggas that hated / Old hoes we dated, look mama, we… http://t.co/sNRY6A7VYB",O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
b*tch,"Stay away, you ugly, miserable b*tch.",O,"['S', 'S', 'S', 'S', 'S', 'B-O']"
b1tch,I can't believe she turned out to be such a b1tch.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
b.ich,It's a b.ich move to act that way towards friends.,O,"['S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
b*tch,You're just a b*tch who can't handle the truth.,O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
bitchh,You're nothing but a bitchh who can't handle reality.,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
pitch,What did you say pitch?,O,"['S', 'S', 'S', 'S', 'B-O']"
b!tching,She’s always b!tching about her job but never does anything about it.,O,"['S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
b*ack,She prefers taking her coffee b*ack and strong in the mornings.,N,"['S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
(.)(.),Show me your (.)(.),O,"['S', 'S', 'S', 'B-O']"
(.)(.),I am so jealous of your big (.)(.),O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
phooger,Kids seems to like phooger jokes these days.,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S']"
phooger,That phooger hanging out of your nose is so gross bruh,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
phooger,That phooger-eating joke is lowkey kinda funny yea,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
br@g,You br@g a lot about th!ngs no one cares about.,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
br@in-dead,That was the most br@in-dead thing I've ever heard.,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
br@inless,You're a br@inless m0ron with no real value.,O,"['S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
brainles,"You're a brainles moron, totally irrelevant.",O,"['S', 'B-O', 'S', 'S', 'S', 'S']"
br@!n|355,Acting br@!n|355 as usual,O,"['S', 'B-O', 'S', 'S']"
br@ins,You talk a lot for someone with zero br@ins.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
br@t,It’s frustrating how he whines like a little br@t over everything.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
|3r!11!@n7,Your |3r!11!@n7 solution saved us,N,"['S', 'B-N', 'S', 'S', 'S']"
br!||!@n7,Your br!||!@n7 strategy worked,N,"['S', 'B-N', 'S', 'S']"
br!ll!@nt,Your br!ll!@nt strategy worked,N,"['S', 'B-N', 'S', 'S']"
br!ll!@nt,Your br!ll!@nt strategy works,N,"['S', 'B-N', 'S', 'S']"
bru7@|,Your bru7@| efficiency amazed,N,"['S', 'B-N', 'S', 'S']"
br00t@l,Your br00t@l efficiency is amazing,N,"['S', 'B-N', 'S', 'S', 'S']"
br00t@l,Such br00t@l efficiency helps,N,"['S', 'B-N', 'S', 'S']"
br00t@l,Such br00t@l efficiency works,N,"['S', 'B-N', 'S', 'S']"
bull sh*t,"He's always so full of bull sh*t, it’s annoying.",O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'I-O', 'S', 'S']"
b ull sh!t,There's a lot of b ull sh!t coming from her mouth lately.,O,"['S', 'S', 'S', 'S', 'B-O', 'I-O', 'I-O', 'S', 'S', 'S', 'S', 'S']"
b*llshit,You're just spewing b*llshit every time you speak.,O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
bullsh!t,Nothing but bullsh!t comes from your mouth.,O,"['S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
bullshitt,"You're just spewing bullshitt, nothing worth hearing.",O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S']"
bullshite,Nothing but bullshite falls out of your mouth.,O,"['S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
bvt,"No ifs and bvts, okay?",N,"['S', 'S', 'S', 'B-N', 'S']"
bvt,Put your bvt aside,N,"['S', 'S', 'B-N', 'S']"
bvtt,The way it’s cut around the legs and the bvtt is perfect.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
bv77,Our professor said 'bv77' what a boss,O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S']"
bwtt,That is some very nice bwtt you got there,O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S']"
6vtt,salon is is chuck full of 6vtt-hurt liberal retards,O,"['S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
bv77,where gals are getting surgery to make their bv77s BIGGER??,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S']"
bvttchicks,Are those bvttchick piercings?,O,"['S', 'S', 'B-O', 'S']"
bu++kr@k,I was just making sure my bu++kr@k wasn't showing,O,"['S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
bu++h0le,his bu++h0le was itchy due to hemorrhoids,O,"['S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
bu++h0le,He had a plug up his bu++h0le,O,"['S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
bv++h0le,how about you wash my bv++h0le out with your tongue you little faggot,O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
cannt,I cannt believe you’d think anyone actually agrees with you.,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
cant,I cant attend the meeting tomorrow.,N,"['S', 'B-N', 'S', 'S', 'S', 'S']"
cant,I cant believe how much fun we had at the concert!,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
kant,I kant find my keys.,N,"['S', 'B-N', 'S', 'S', 'S']"
cunn,I cunn believe we are finishing the semester soon.,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
cunn,I cunn believe how high I scored for this exam!!,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
cvnt,I cvnt come to party,N,"['S', 'B-N', 'S', 'S', 'S']"
cunt,"u cvnt, really?",N,"['S', 'B-N', 'S']"
CC,I will CC you on the email to update you about the project.,N,"['S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
CC,Why do I always have to CC my boss? So annoying.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
carefullee,"He drove carefullee through the winding mountain roads, appreciating the stunning scenery around him.",N,"['S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
ch@mp!0n,Becoming a ch@mp!0n at this game,N,"['S', 'S', 'B-N', 'S', 'S', 'S']"
chinc,She pointed to her chinc while explaining her injury.,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
chinc,I love her V-shaped chinc,N,"['S', 'S', 'S', 'S', 'B-N']"
Ah Ching</space>Ah Chong,Is your name Ah Ching or Ah Chong?,O,"['S', 'S', 'S', 'B-O', 'I-O', 'I-O', 'I-O', 'I-O']"
Ah Ching</space>Ah Chong,Ah Ching or Ah Chong don't deserve to give opinions here,O,"['B-O', 'I-O', 'I-O', 'I-O', 'I-O', 'S', 'S', 'S', 'S', 'S', 'S']"
CC,"Go eat rice for dinner, CC.",O,"['S', 'S', 'S', 'S', 'S', 'B-O']"
CC,These CCs come into our country and takes up all our jobs.,O,"['S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
Ching</space>Chong,I can't tell the difference between Ching here and Chong there.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'I-O', 'I-O', 'I-O', 'I-O']"
Ching</space>Chong,I think I can easily get an A in this class if Ching and Chong is in my group.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'I-O', 'I-O', 'I-O', 'S', 'S', 'S']"
singsong,The seats in front are always taken by those singsongs.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
singsong,I cannot stand being in the same room as those singsongs.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
shins,Those shins next town are having a party.,O,"['S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S']"
shins,Shins are so cute ; they are totally my type,O,"['B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
klan,Our gaming klan is planning a tournament next week.,N,"['S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
klan,I have the best gaming experience with this klan.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
cl0ck,the cl0ck was staying still,N,"['S', 'B-N', 'S', 'S', 'S']"
clYrck,the clYrck was looking at the wall,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
cl0ck,Someone needs to fix that busted cl0ck.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
cl0ck,This cl0ck is as useful as a deadweight.,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
cluless,It’s painfully obvious to anyone with a brain that you’re cluless.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
c|u3|355,Being completely c|u3|355 about everything,O,"['S', 'S', 'B-O', 'S', 'S']"
c0k,"A female """"c0k block"""" is called a """"clam jam.""""""",O,"['S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S']"
kok,That is some nice kok u got in there,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
ç0ck,The day I have clear skin will be the day I'm the happiest ç0ckiest bitch alive,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
ç0çk,ya little bitch you look like a Mexican sucking a ç0çk in ur profile,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S']"
ç0çk,Rock out with your ç0çk out,O,"['S', 'S', 'S', 'S', 'B-O', 'S']"
cork,He talks cork often but he's so funny,O,"['S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
qawk,Why are you jumping from qawk to qawks?,O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
qawk,what the qawk! That's actually so cool dude,O,"['S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
8===D,She hops between different 8===Ds everyday.,O,"['S', 'S', 'S', 'S', 'B-O', 'S']"
8===D,She complimented me that I have a nice 8===D.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
cork,I think you just made yourself look like a cork.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
coggsvgger,The coggsvgger gave us more assignments again.,O,"['S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
coggsvgger,I heard that the coggsvgger lost his job.,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S']"
coggsvgger,You may be a coggsvgger but I am so grateful to have you in my life bruh,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
c*cky,He’s got a c*cky attitude that rubs everyone the wrong way.,O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
cok,I would like a cok with my meal please,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
cok,I spat out that drink that is mixed with cok,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
cok,Nothing hits better than an ice-cold cok on a hot day,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
collab*rated,The team collab*rated well to complete the project successfully.,N,"['S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
cum,I think she will cum to the party tonight.,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
cum,Shut up and just cum straight to the point dude,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
cum,I can't wait to cum home to you!,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S']"
cummin,I was told that cummin early to this meeting is important,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
cummin,I am not looking forward to cummin to that boring event,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
compla!ning,Why are you always compla!ning about everything? Grow up.,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
